REG_MISPREDICT_TOTAL,PARALLEL_EQUAL,USE_AGU,USE_BRANCH_AGU,USE_BRANCH_PREDICTOR,USE_ZMMUL,LUT,FMAX,CoreMark_per_MHz,FMAX_x_CoreMark_per_MHz
0,0,1,0,0,0,1632,16.543333333333333,0.7776092093813886,12.864248353866104
0,1,1,0,0,0,1648,16.756666666666668,0.7776092093813886,13.030138318534135
0,1,1,1,0,0,1652,17.05333333333333,0.7776092093813886,13.260829050650612
0,1,0,1,0,0,1672,17.173333333333332,0.7776092093813886,13.354142155776378
1,0,1,0,0,0,1698,21.71666666666667,0.681353467782542,14.796726142010872
1,0,1,1,0,0,1704,21.863333333333333,0.681353467782542,14.896657983952311
1,1,1,1,0,0,1717,23.183333333333334,0.681353467782542,15.796044561425266
1,1,1,0,0,0,1734,23.393333333333334,0.681353467782542,15.9391287896596
0,0,0,0,0,1,1843,15.953333333333333,1.8152312423079577,28.958989085619617
0,1,1,0,0,1,1850,16.926666666666666,1.8152312423079577,30.72581416146603
0,1,1,1,0,1,1861,17.336666666666666,1.8152312423079577,31.470058970812293
1,0,1,1,0,1,1887,21.613333333333333,1.6108480954137543,34.815796835542606
1,0,1,0,0,1,1912,21.663333333333338,1.6108480954137543,34.8963392403133
1,1,1,1,0,1,1916,23.116666666666664,1.6108480954137543,37.237438472314615
1,1,1,0,0,1,1931,23.30333333333333,1.6108480954137543,37.53813011679185
